TABLE_NAME,COLUMN_NAME,DATA_TYPE
salesforce_case,Konnect_Re_Open_by__c,string
salesforce_case,Konnect_Re_Open_Note__c,string
salesforce_case,Konnect_Classification__c,string
salesforce_case,Konnect_Attachements__c,string
salesforce_case,Konnect_Customer_Name__c,string
salesforce_case,Konnect_Alternative_Contact__c,string
salesforce_case,Konnect_Contact__c,string
salesforce_case,Konnect_Email_ID__c,string
salesforce_case,SuperNet_ID__c,string
salesforce_case,Converted_To__c,string
salesforce_case,Reason_for_Extension__c,string
salesforce_case,Interested_Institute__c,string
